ID,GEO,Technical_2008,Technical_2009,Technical_2010,Technical_2011,Technical_2012,Technical_2013,Technical_2014,Technical_2015,Technical_2016,Technical_2017,Technical_2018,Technical_2019,Technical_2020,NonTechnical_2008,NonTechnical_2009,NonTechnical_2010,NonTechnical_2011,NonTechnical_2012,NonTechnical_2013,NonTechnical_2014,NonTechnical_2015,NonTechnical_2016,NonTechnical_2017,NonTechnical_2018,NonTechnical_2019,NonTechnical_2020,hrst_2010,hrst_2011,hrst_2012,hrst_2013,hrst_2014,hrst_2015,hrst_2016,hrst_2017,hrst_2018,hrst_2019,hrst_2020,number_of_pop_2010,number_of_pop_2011,number_of_pop_2012,number_of_pop_2013,number_of_pop_2014,number_of_pop_2015,number_of_pop_2016,number_of_pop_2017,number_of_pop_2018,number_of_pop_2019,number_of_pop_2020,number_of_pop_2021,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,retention_2010,retention_2011,retention_2012,retention_2013,retention_2014,retention_2015,retention_2016,retention_2017,retention_2018,retention_2019,retention_2020,hub_2010,hub_2011,hub_2012,hub_2013,hub_2014,hub_2015,hub_2016,hub_2017,hub_2018,hub_2019,hub_2020,AverageWage_2010,AverageWage_2011,AverageWage_2012,AverageWage_2013,AverageWage_2014,AverageWage_2015,AverageWage_2016,AverageWage_2017,AverageWage_2018,AverageWage_2019,AverageWage_2020,correlation_2010,correlation_2011,correlation_2012,correlation_2013,correlation_2014,correlation_2015,correlation_2016,correlation_2017,correlation_2018,correlation_2019,correlation_2020
LVA,Latvia,23 305,23433,23 561,23689,23 817,25655.5,27494,29332.5,31 171,33231.25,35291.5,37351.75,39 412,18 283,17870.75,17458.5,17046.25,16 634,17851.25,19068.5,20285.75,21 503,23246.75,24990.5,26734.25,28 478,38,38.2,40.1,41.2,40.7,42.4,43.3,44.4,44.4,46.8,47.7,1 635.3,1 595.3,1 560.0,1 536.1,1 495.8,1 472.6,1 450.3,1 423.4,1 410.8,1 399.5,1 390.1,1 381.4,-0.344610811,6.53308884,3.638772799,1.715649513,1.917664771,0.115936805,0.864382928,2.947266421,3.893608357,2.57514231,-0.119652959,1,1.005263158,1.04973822,1.027431421,0.987864078,1.041769042,1.021226415,1.025404157,1,1.054054054,1.019230769,1,0.308615789,0.323965789,0.332682294,0.328563592,0.342325307,0.349463679,0.358276212,0.3582,0.377562162,0.384657692,20509.75,20367.625,20225.5,21753.375,23281.25,24809.125,26337,28239,30141,32043,33945,,,,,,,,,,,
LTU,Lithuania,16 638,17991.5,19 345,20698.5,22 052,23209.5,24367,25524.5,26 682,29389.75,32097.5,34805.25,37 513,14 188,15346.75,16505.5,17664.25,18 823,19489,20155,20821,21 487,23625.5,25764,27902.5,30 041,42.7,43.6,43.9,45.6,46.5,48.2,49.1,49.4,50.5,51.9,52.4,2 426.4,2 327.6,2 290.7,2 261.9,2 237.5,2 211.5,2 175.2,2 129.1,2 102.3,2 090.7,2 094.6,2 094.7,2.53348366,5.349952298,2.734253494,1.281332227,0.833592064,0.063682791,1.576252772,4.24343179,3.526212136,2.654234194,1.459281574,1,1.021077283,1.006880734,1.038724374,1.019736842,1.03655914,1.018672199,1.00610998,1.022267206,1.027722772,1.009633911,1,0.351863232,0.354284309,0.367916173,0.375059211,0.388709677,0.395856017,0.39821833,0.407066802,0.418283168,0.422228902,17925.25,19181.375,20437.5,21349.25,22261,23172.75,24084.5,26507.625,28930.75,31353.875,33777,,,,,,,,,,,
LUX,Luxembourg,65 864,68124.5,70 385,72645.5,74 906,75375.75,75845.5,76315.25,76 785,77350.5,77916,78481.5,79 047,44149.31495,51239.5341,59468.41662,69018.82769,80 103,92967.25,105831.5,118695.75,131 560,125303.5,119047,112790.5,106 534,56.2,57.3,58.9,61.1,64.5,58.8,59.6,57.6,61.2,63.7,65,378.1,389.6,399.5,403.3,410.3,425.1,436.2,452.9,458.2,467.6,477.7,484.4,4.648418462,3.44946168,3.265977318,2.276024495,2.796702201,2.219180657,-1.107616926,2.142903997,1.731701858,0.577087746,4.271360594,1,1.019572954,1.027923211,1.037351443,1.055646481,0.911627907,1.013605442,0.966442953,1.0625,1.040849673,1.020408163,1,0.461458719,0.474344128,0.491912054,0.519166939,0.473134884,0.479840816,0.463699329,0.4927875,0.512722549,0.523061224,64926.70831,70832.16385,77504.5,84171.5,90838.5,97505.5,104172.5,101327,98481.5,95636,92790.5,,,,,,,,,,,
MLT,Malta,29 341,30390,31 439,32488,33 537,34800.25,36063.5,37326.75,38 590,39374.5,40159,40943.5,41 728,48443.41815,46668.42662,44958.47168,43311.17035,41724.22699,40195.43005,38722.649,37303.8314,35 937,34620.25,33303.5,31986.75,30 670,32.6,35.3,37.6,39,39.5,40.2,40.3,42.8,46.1,47.4,47.6,321,322.1,326.1,331,338.5,347.4,355.6,367,381.3,396.7,402.8,404.5,3.165694218,1.123902047,2.146095494,2.276171591,2.342729375,4.220118792,1.997017517,2.098196586,2.217385277,2.374298383,1.4762733,1,1.082822086,1.065155807,1.037234043,1.012820513,1.017721519,1.002487562,1.062034739,1.077102804,1.028199566,1.004219409,1,0.285648466,0.304260123,0.315111702,0.319038462,0.324653165,0.325407463,0.345586104,0.372031308,0.382284599,0.383812658,38198.73584,37899.58518,37630.6135,37497.84003,37393.0745,37315.2907,37263.5,36997.375,36731.25,36465.125,36199,,,,,,,,,,,
MNE,Montenegro,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,35,35.6,35.9,37.5,38.8,37.1,38.1,37.2,36.8,38.8,38.4,:,:,:,:,:,:,:,:,:,:,:,:,1.604202698,1.202703549,0.177017,2.066970904,1.03622832,2.219572933,5.101095417,3.824946071,3.226106405,2.022142505,-0.175604638,1,1.017142857,1.008426966,1.044568245,1.034666667,0.956185567,1.026954178,0.976377953,0.989247312,1.054347826,0.989690722,1,0.287851429,0.290277143,0.303133705,0.313504,0.299668557,0.307880863,0.300529134,0.297367742,0.313563043,0.310169072,8995.265973,9265.086248,9543,9829.25,10115.5,10401.75,10688,10982.12743,11284.34907,11594.88768,11914,,,,,,,,,,,
NLD,Netherlands,68 813,69955,71 097,72239,73 381,73828.25,74275.5,74722.75,75 170,77062,78954,80846,82 738,60 925,61592.5,62260,62927.5,63 595,64404.75,65214.5,66024.25,66 834,70041,73248,76455,79 662,50.9,51.8,52.1,52.7,52.8,53.6,54.6,55.3,56.9,58.7,60.8,12 412.4,12 452.2,12 540.7,12 637.6,12 664.6,12 685.2,12 768.0,12 870.1,12 936.5,13 015.4,13 094.3,13 146.6,0.940413732,0.193652087,1.446109567,1.279987054,0.253185732,0.772727977,0.454667289,1.260707158,2.437090745,3.032733792,2.291701276,1,1.017681729,1.005791506,1.011516315,1.001897533,1.015151515,1.018656716,1.012820513,1.028933092,1.031634446,1.035775128,1,0.417453045,0.419870727,0.424634549,0.425405693,0.431845455,0.43985597,0.445438462,0.458286799,0.472694903,0.489507325,66678.5,67583.25,68488,69116.5,69745,70373.5,71002,73551.5,76101,78650.5,81200,,,,,,,,,,,
MKD,NorthMacedonia,12551.78293,12677.19505,12803.86023,12931.791,13 061,13191.5,13322,13452.5,13 583,13714.76595,13847.81014,13982.14497,14 118,8326.279103,8484.634211,8646.001029,8810.436836,8 978,9148.75,9319.5,9490.25,9 661,9834.82216,10011.77175,10191.90505,10375.27933,24.1,27,27.6,26.4,26.8,28.6,30.9,31.4,31.7,32.5,35.4,:,:,:,:,:,:,:,:,:,:,:,:,2.041283023,3.72217234,1.002998267,4.483293154,1.446967858,2.003420846,3.465252857,2.807027035,3.926155289,0.868168685,0.857544357,1,1.12033195,1.022222222,0.956521739,1.015151515,1.067164179,1.08041958,1.01618123,1.00955414,1.025236593,1.089230769,1,0.219360996,0.224235685,0.214069565,0.217445455,0.232001493,0.250441259,0.254248544,0.256628662,0.26307571,0.286467692,10724.93063,10871.11392,11019.5,11170.125,11320.75,11471.375,11622,11774.79406,11929.79095,12087.02501,12246.63967,,,,,,,,,,,
NOR,Norway,95 949,100654,105 359,110064,114 769,110959.25,107149.5,103339.75,99 530,95860.70123,92326.67578,88922.93663,85 645,81 661,87571,93481,99391,105 301,102007.25,98713.5,95419.75,92 126,88945.94543,85875.66168,82911.35963,80049.38094,51.4,54.6,55.4,56.3,58.7,59.7,59.3,59.1,59.2,59.3,60.5,:,:,:,:,:,:,:,:,:,:,:,:,5.968211523,6.716706053,3.342920579,2.555195583,0.290603973,-2.854865013,-1.474253826,3.951104549,6.651608266,-0.472598024,-3.604605158,1,1.062256809,1.014652015,1.016245487,1.042628774,1.017035775,0.993299832,0.996627319,1.001692047,1.001689189,1.020236088,1,0.43998677,0.446433463,0.453448736,0.472727886,0.480651107,0.477379899,0.475789882,0.476605076,0.477405068,0.487060708,99420,104727.5,110035,106483.25,102931.5,99379.75,95828,92403.32333,89101.16873,85917.14813,82847.19047,,,,,,,,,,,
POL,Poland,24 115,24375,24 635,24895,25 155,25768.75,26382.5,26996.25,27 610,28237.70338,28879.67738,29536.24642,30 208,20 989,20376,19763,19150,18 537,19315,20093,20871,21 649,22456.0012,23293.08466,24161.37175,25062.02563,35.9,36.6,37.7,39,40.4,41.6,42.8,44,45.2,46,46.6,28 609.4,28 605.0,28 577.3,28 526.6,28 451.9,28 410.3,28 081.6,27 982.8,27 851.9,27 678.9,27 722.4,27 627.2,1.650906719,3.27057482,2.361494844,0.304917411,0.521868728,0.974028251,0.311622234,1.859700451,1.201610335,3.193977984,4.103890814,1,1.019498607,1.030054645,1.034482759,1.035897436,1.02970297,1.028846154,1.028037383,1.027272727,1.017699115,1.013043478,1,0.295858496,0.304750418,0.315103448,0.326307692,0.335889109,0.345486538,0.355084112,0.364681818,0.371053097,0.37583913,22199,22022.5,21846,22541.875,23237.75,23933.625,24629.5,25346.85229,26086.38102,26848.80909,27635.01282,,,,,,,,,,,
PRT,Portugal,36 701,36829.25,36 958,37085.75,37 214,35592.25,33970.5,32348.75,30 727,31848.25,32969.5,34090.75,35 212,42410.48617,40490.0681,38656.60979,36906.17355,35 235,33639.5,32044,30448.5,28 853,27462.75,26072.5,24682.25,23 292,23.9,26.9,28.7,30,33,34.8,36.2,36.4,37.5,38.3,40.9,8 036.6,8 009.3,7 965.3,7 907.3,7 859.6,7 825.2,7 804.8,7 789.3,7 772.9,7 768.8,7 782.5,7 783.5,0.642290869,-0.265123395,-0.38819636,2.248654892,0.704596369,2.019964428,1.716662547,1.511910394,1.812996752,1.749452748,1.941873304,1,1.125523013,1.066914498,1.045296167,1.1,1.054545455,1.040229885,1.005524862,1.03021978,1.021333333,1.067885117,1,0.218576569,0.23320251,0.243135889,0.2673,0.281563636,0.29272069,0.294216575,0.303090659,0.309464,0.330403655,37807.3049,36995.96178,36224.5,34615.875,33007.25,31398.625,29790,29655.5,29521,29386.5,29252,,,,,,,,,,,
ROU,Romania,14 940,15871,16 802,17733,18 664,20211.75,21759.5,23307.25,24 855,26834,28813,30792,32 771,10 150,11159.5,12169,13178.5,14 188,14337.5,14487,14636.5,14 786,16332,17878,19424,20 970,24,25.4,25.5,25.1,25.6,27,27.6,27.7,27.9,28.2,28.4,15 607.0,15 522.8,15 437.5,15 370.1,15 304.4,15 225.7,15 142.7,15 026.5,14 927.1,14 821.6,14 733.2,14 561.2,3.593131593,3.769401251,3.770702842,3.395480966,1.796958454,3.25534816,2.447043264,4.679172497,6.186225461,6.795538042,3.889224536,1,1.058333333,1.003937008,0.984313725,1.019920319,1.0546875,1.022222222,1.003623188,1.007220217,1.010752688,1.007092199,1,0.206375,0.2071875,0.203752941,0.207859761,0.219164063,0.223866667,0.22461087,0.226221661,0.228632258,0.230221277,14485.5,15455.75,16426,17274.625,18123.25,18971.875,19820.5,21583,23345.5,25108,26870.5,,,,,,,,,,,
SRB,Serbia,13031.22122,13879.85891,14783.76279,15746.53198,16 772,17864.25,18956.5,20048.75,21 141,23107.75,25074.5,27041.25,29 008,12777.18092,12393.98974,12022.29057,11661.73876,11 312,10972.75,10633.5,10294.25,9 955,10966.5,11978,12989.5,14 001,30.6,21.3,22.4,30.9,32.7,33.4,33.6,34.4,35.2,35.3,35.4,:,:,:,:,:,:,:,:,:,:,:,:,5.728941631,8.909097738,6.199338956,5.125443276,2.585382937,1.87289248,1.549888832,2.97079317,1.974942562,2.440600408,2.449981748,1,0.696078431,1.051643192,1.379464286,1.058252427,1.021406728,1.005988024,1.023809524,1.023255814,1.002840909,1.002832861,1,0.172488235,0.181396078,0.251338393,0.264774757,0.27026422,0.271817964,0.278271429,0.284669767,0.285408523,0.286208499,13403.02668,13704.13537,14042,14418.5,14795,15171.5,15548,17037.125,18526.25,20015.375,21504.5,,,,,,,,,,,
SVK,Slovakia,30953.48592,31190.86969,31430.07397,31671.11271,31 914,32158.75,32403.5,32648.25,32 893,35110,37327,39544,41 761,26863.24003,27608.12149,28373.65751,29160.42081,29 969,30800,31631,32462,33 293,33455.25,33617.5,33779.75,33 942,33.5,33.9,32.5,32.5,32.9,33.5,34.2,35.2,36.9,38.1,39.7,4 305.4,4 271.5,4 279.6,4 285.6,4 286.4,4 285.5,4 281.9,4 274.8,4 266.1,4 258.1,4 249.6,4 207.8,0.532681317,1.676477179,1.260116212,0.509341301,-0.192250577,-0.216403221,-0.512184923,1.215693888,2.034356622,2.493487709,2.368618962,1,1.011940299,0.958702065,1,1.012307692,1.018237082,1.020895522,1.029239766,1.048295455,1.032520325,1.041994751,1,0.274235821,0.262910448,0.263,0.266236923,0.271054711,0.276662687,0.284687719,0.298344886,0.307897561,0.320725984,29901.86574,30415.76676,30941.5,31479.375,32017.25,32555.125,33093,34282.625,35472.25,36661.875,37851.5,,,,,,,,,,,
SVN,Slovenia,40 278,40644.5,41 011,41377.5,41 744,42438.5,43133,43827.5,44 522,46229.5,47937,49644.5,51 352,34 711,34133.5,33556,32978.5,32 401,33853.25,35305.5,36757.75,38 210,39735,41260,42785,44 310,40.8,42.4,42.8,43.5,43.7,45.1,46.5,47.8,47.4,48.2,50.6,1 610.8,1 606.7,1 602.1,1 595.7,1 589.6,1 585.6,1 580.4,1 577.2,1 568.2,1 576.6,1 594.2,1 575.6,-1.029317885,1.040015007,0.479044261,1.600355935,0.456031616,1.005043485,0.874115426,1.464064024,2.116788342,2.199603922,1.225815764,1,1.039215686,1.009433962,1.01635514,1.004597701,1.032036613,1.031042129,1.027956989,0.991631799,1.016877637,1.049792531,1,0.342317647,0.345547059,0.351049065,0.352613793,0.36389611,0.375093126,0.385483871,0.382174895,0.388650633,0.407949378,37283.5,37178,37072.5,38145.875,39219.25,40292.625,41366,42982.25,44598.5,46214.75,47831,,,,,,,,,,,
ESP,Spain,39 289,40311.5,41 334,42356.5,43 379,43385.75,43392.5,43399.25,43 406,44430,45454,46478,47 502,35 432,37254.75,39077.5,40900.25,42 723,41650.75,40578.5,39506.25,38 434,39702.25,40970.5,42238.75,43 507,39.6,40.1,40.4,41.2,42.2,42.7,43.4,44.3,45.1,46.5,47.8,35 344.7,35 332.2,35 240.1,35 036.6,34 975.2,34 953.7,34 907.0,35 039.9,35 195.4,35 499.5,35 810.0,35 833.8,0.153388675,-0.019750748,-0.11455774,0.398439553,-0.223368485,0.54555601,0.322898794,1.299554832,1.245255115,1.304657166,1.103930714,1,1.012626263,1.007481297,1.01980198,1.024271845,1.011848341,1.016393443,1.020737327,1.018058691,1.031042129,1.027956989,1,0.323837879,0.326260606,0.332659406,0.340672816,0.344635545,0.35024918,0.357462212,0.363854176,0.375093126,0.385483871,40205.75,41628.375,43051,42518.25,41985.5,41452.75,40920,42066.125,43212.25,44358.375,45504.5,,,,,,,,,,,
SWE,Sweden,76 611,79167.25,81 724,84279.75,86 836,90351.5,93867,97382.5,100 898,104540.4093,108314.3092,112224.4466,116 276,66 317,69340,72363,75386,78 409,83011.75,87614.5,92217.25,96 820,101652.4826,106726.1642,112053.0835,117645.8802,50.3,51.7,52.6,53.8,55.1,56.2,57.9,58.6,59.9,60.7,61.4,7 017.8,7 073.3,7 114.5,7 155.7,7 205.2,7 257.0,7 322.4,7 402.4,7 459.8,7 508.4,7 534.8,7 515.1,0.947565419,1.0883594,1.001422023,0.927395691,1.744531292,2.121180245,1.525609914,2.135151825,2.396920335,2.546875481,1.761188885,1,1.027833002,1.017408124,1.022813688,1.024163569,1.019963702,1.03024911,1.01208981,1.0221843,1.013355593,1.011532125,1,0.416683499,0.423937177,0.433468441,0.443872491,0.452659891,0.466290747,0.471836269,0.482266553,0.488640067,0.494234596,77043.5,79832.875,82622.5,86681.625,90740.75,94799.875,98859,103096.446,107520.2367,112138.7651,116960.9401,,,,,,,,,,,
CHE,Switzerland,111068.4898,113729.2214,116453.693,119243.4313,122 100,125025,127950,130875,133 800,136790.3725,139847.5785,142973.1118,146 168,111068.4898,113729.2214,116453.693,119243.4313,122 100,125025,127950,130875,133 800,136790.3725,139847.5785,142973.1118,146 168,52.4,50.7,51.7,53.4,54.3,55.1,56.4,57.7,58.6,59.6,59.8,:,:,:,:,:,:,:,:,:,:,:,:,0.334528999,-0.032862903,-0.003765062,-0.02330848,-0.590356049,-1.204191107,-0.596719888,-0.374816491,0.748408212,-0.105744561,-0.502868266,1,0.967557252,1.019723866,1.032882012,1.016853933,1.014732965,1.023593466,1.023049645,1.01559792,1.017064846,1.003355705,1,0.408502672,0.416559924,0.430298646,0.437450562,0.443844199,0.45427078,0.464669149,0.471846794,0.479851195,0.481410067,116453.693,119243.4313,122100,125025,127950,130875,133800,136790.3725,139847.5785,142973.1118,146168,,,,,,,,,,,
TUR,Turkey,28049.56329,27983.18723,27916.96825,27850.90596,27 785,27719.25,27653.5,27587.75,27 522,25401,23280,21159,19 038,27071.11782,26686.46757,26307.28278,25933.48577,25 565,25201.75,24838.5,24475.25,24 112,23754.14118,23401.59354,23054.27823,22712.11762,20.9,21.7,23.1,23.8,24.7,26.3,27.5,28.1,28.8,30.3,32.6,:,:,:,:,:,:,:,:,:,:,:,:,7.009283603,8.200847093,7.422673287,6.280109697,7.389518638,7.84491693,8.130478078,10.98242167,16.47581834,13.85934632,14.82641101,1,1.038277512,1.064516129,1.03030303,1.037815126,1.064777328,1.045627376,1.021818182,1.024911032,1.052083333,1.075907591,1,0.176714833,0.188115789,0.193490909,0.200713445,0.213594332,0.223136882,0.227865455,0.233474733,0.24555625,0.264027723,27112.12552,26892.19587,26675,26460.5,26246,26031.5,25817,24577.57059,23340.79677,22106.63912,20875.05881,,,,,,,,,,,
GBR,UnitedKingdom,66250.59676,66705.0011,67162.52215,67623.18127,68 087,68554,69021,69488,69 955,70425.13851,70898.43663,71374.91559,71 855,61 301,63299.75,65298.5,67297.25,69 296,71354.11352,73473.35367,75655.53594,71 570,67705.0904,64048.89291,60590.13672,57318.15961,46.3,52.4,53.3,54.1,54.6,55.5,56.8,57,57.6,59.1,61,:,:,:,:,:,:,:,:,:,:,:,:,1.376207318,2.067332934,1.611883546,2.238800542,1.590368107,0.511374817,1.901106634,1.818766408,1.999034892,2.015103187,5.090975534,1,1.13174946,1.017175573,1.015009381,1.009242144,1.016483516,1.023423423,1.003521127,1.010526316,1.026041667,1.0321489,1,0.422595248,0.429853564,0.435845028,0.439827726,0.447049451,0.45747027,0.459010563,0.463831579,0.475878125,0.491096447,66230.51108,67460.21564,68691.5,69954.05676,71247.17684,72571.76797,70762.5,69065.11446,67473.66477,65982.52616,64586.57981,,,,,,,,,,,