ID,GEO,Technical_2008,Technical_2009,Technical_2010,Technical_2011,Technical_2012,Technical_2013,Technical_2014,Technical_2015,Technical_2016,Technical_2017,Technical_2018,Technical_2019,Technical_2020,NonTechnical_2008,NonTechnical_2009,NonTechnical_2010,NonTechnical_2011,NonTechnical_2012,NonTechnical_2013,NonTechnical_2014,NonTechnical_2015,NonTechnical_2016,NonTechnical_2017,NonTechnical_2018,NonTechnical_2019,NonTechnical_2020,hrst_2010,hrst_2011,hrst_2012,hrst_2013,hrst_2014,hrst_2015,hrst_2016,hrst_2017,hrst_2018,hrst_2019,hrst_2020,number_of_pop_2010,number_of_pop_2011,number_of_pop_2012,number_of_pop_2013,number_of_pop_2014,number_of_pop_2015,number_of_pop_2016,number_of_pop_2017,number_of_pop_2018,number_of_pop_2019,number_of_pop_2020,number_of_pop_2021,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020
ALB,Albania,2 977,3375.021142,3826.571937,4338.536612,4 919,5577.125,6235.25,6893.375,7 552,8209.625,8867.75,9525.875,10 184,2 977,3375.021142,3826.571937,4338.536612,4 919,5577.125,6235.25,6893.375,7 552,8209.625,8867.75,9525.875,10 184,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.451062699,1.473058103,1.256589952,0.678486249
AUT,Austria,72 294,72939.75,73585.5,74231.25,74 877,76073.75,77270.5,78467.25,79 664,80443.5,81223,82002.5,82 782,72 440,73232.25,74024.5,74816.75,75 609,76994,78379,79764,81 149,83083.25,85017.5,86951.75,88 886,39.1,40.4,41.7,43.0,48.3,48.6,49.1,50.1,50.4,51.1,52.2,6 368.7,6 397.5,6 439.6,6 486.3,6 527.3,6 555.2,6 612.2,6 614.7,6 629.7,6 645.2,6 677.2,6 719.5,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,1.005534159,1.801930508,1.622589405,2.312344592
BEL,Belgium,75 005,79035.5,83066,87096.5,91 127,88352.5,85578,82803.5,80 029,79243.25,78457.5,77671.75,76 886,63 415,66115.75,68816.5,71517.25,74 218,77156.75,80095.5,83034.25,85 973,87336.25,88699.5,90062.75,91 426,49.3,49.6,50.3,49.6,51.1,50.5,51.1,54.3,54.4,54.6,56.6,8 100.7,8 162.3,8 211.0,8 247.4,8 277.1,8 317.0,8 360.2,8 359.0,8 411.3,8 452.9,8 497.2,8 533.9,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128,1.920850695,1.830272796,1.50804775,1.794827211,1.254807525
BIH,Bosnia,9 108,10327.11034,11708.79499,13275.33797,13 659,14053.75,14448.5,14843.25,15 238,16607.25,17976.5,19345.75,20 715,7 184,7794.849889,8458.183083,9177.965206,9 959,10382.75,10806.5,11230.25,11 654,11662.75,11671.5,11680.25,11 689,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.406961876,1.696361815,2.747629988,2.63114018,0.176003498
BGR,Bulgaria,12 555,14149.4375,15 744,16703.9375,17 664,18932.75,20201.5,21470.25,22 739,24642.25,26545.5,28448.75,30 352,7 935,8665.75,9396.5,10127.25,10 858,11297.75,11737.5,12177.25,12 617,13823.25,15029.5,16235.75,17 442,32.1,32.7,32.8,34.0,35.4,36.3,36.8,36.5,36.8,36.6,38.0,5 827.0,5 766.2,5 698.1,5 649.3,5 608.7,5 562.9,5 510.3,5 454.8,5 398.4,5 347.9,5 297.8,5 252.5,0.764233397,6.112979908,1.112136794,0.071962013,1.340740195,2.946785657,3.32208191,4.810288428,4.232654424,5.236819061,4.202619231
HRV,Croatia,28 423,28361.125,28 299,28564.125,28 829,28175.5,27522,26868.5,26 215,25577.39453,24955.29701,24348.33024,23 756,22 425,22278,22131,21984,21 837,22790.25,23743.5,24696.75,25 650,26640.04373,27668.30136,28736.24789,29845.41522,31.6,29.8,31.5,34.5,35.1,36.2,37.4,38.2,40.0,40.1,40.0,3 297.7,3 283.5,3 270.5,3 258.2,3 242.9,3 210.3,3 184.9,3 161.5,3 141.7,3 125.4,3 112.9,3 104.1,0.929440948,1.696719118,1.425412457,0.773358483,0.149114122,0.079655559,-0.074922101,1.163654826,2.010366801,1.919309384,-0.129291632
CYP,Cyprus,34 736,35465.1875,36 194,37146.6875,38 099,37652.75,37206.5,36760.25,36 314,39198.75,42083.5,44968.25,47 853,32 931,33932.75,34934.5,35936.25,36 938,37967.67453,39026.05202,40113.93258,41232.13862,42381.5155,43562.93212,44777.28163,46025.48203,44.0,47.1,48.5,47.9,48.8,49.3,50.6,50.9,52.0,52.5,53.0,615.9,634.7,644.6,641.8,634.8,627.1,628.7,638.7,645.4,653.4,660.3,670.8,1.880282357,1.61710658,1.675270124,-0.945904602,-1.333778547,-0.754048101,-0.572261904,1.038442846,1.003866522,1.12289749,-1.121198133
CZE,Czechia,32 719,33334.1875,33 949,34584.6875,35 220,35179.75,35139.5,35099.25,35 059,37448.75,39838.5,42228.25,44 618,28 495,29594.5,30694,31793.5,32 893,33327.5,33762,34196.5,34 631,36149,37667,39185,40 703,37.8,35.9,36.6,37.2,38.1,38.1,38.7,39.6,39.9,39.8,40.6,8 334.6,8 271.8,8 268.8,8 237.8,8 214.3,8 201.0,8 174.5,8 161.6,8 136.6,8 129.7,8 131.1,8 099.2,-1.425313992,-0.020571958,1.450921071,1.364704738,2.578536316,0.99227616,1.141450601,1.306944317,2.568094546,3.889772042,4.395392657
DNK,Denmark,78 202,80878.875,83 556,85684.875,87 814,88909.5,90005,91100.5,92 196,92520,92844,93168,93 492,68 563,70352.75,72142.5,73932.25,75 722,77276.5,78831,80385.5,81 940,81923.5,81907,81890.5,81 874,51.2,52.1,53.3,53.8,54.1,54.6,55.4,56.9,57.7,58.4,59.3,4 149.6,4 174.5,4 197.3,4 224.5,4 252.9,4 283.6,4 320.0,4 341.3,4 354.6,4 360.2,4 351.1,4 326.1,3.224072874,0.638643468,2.375183628,0.888170882,1.032108578,0.433060802,0.254595167,1.184661612,0.747856838,0.742103117,2.612958681
EST,Estonia,32911.14279,33623.86876,34352.02958,35095.95949,35 856,36632.5,37409,38185.5,38 962,41573.5,44185,46796.5,49 408,12010.35124,13547.62555,15281.66449,17237.6531,19 444,21932.75,24421.5,26910.25,29 399,31925,34451,36977,39 503,45.2,47.3,49.2,48.9,48.9,47.9,47.9,49.1,50.2,51.9,52.8,1 023.9,1 016.7,1 005.8,995.9,987.0,973.2,971.6,965.4,965.6,970.3,974.2,975.9,1.822352304,5.473736785,4.072175623,4.03124999,2.915613323,1.03644083,2.187309907,3.590365015,4.024454151,3.188931533,-0.294903106
FIN,Finland,60 474,62986,65 498,68010,70 522,72135.25,73748.5,75361.75,76 975,78622.78444,80305.84258,82024.92952,83 781,47 519,51639.16251,54287.5,57071.65866,61 056,63187.25,65318.5,67449.75,69 581,71779.59238,74047.65499,76387.38293,78801.04065,51.4,52.6,53.6,54.6,55.6,56.5,56.9,57.7,58.4,59.9,61.6,4 025.1,4 038.2,4 055.1,4 067.1,4 075.8,4 081.3,4 090.9,4 096.7,4 105.8,4 109.2,4 112.0,4 104.5,0.322930666,2.62353335,2.97397234,2.55829451,1.631623337,1.616746497,0.087425458,0.819262897,2.002209227,1.495412396,1.56091815
FRA,France,68 950,70540.75,72 132,73722.25,75 313,75183.5,75054,74924.5,74 795,76267.5,77740,79212.5,80 685,71 386,67762.19533,70290,72912.10203,69 194,67429.75,65665.5,63901.25,62 137,66966.5,71796,76625.5,81 455,43.8,47.4,48.1,48.9,49.1,50.0,50.6,50.9,52.2,53.5,55.2,44 865.9,45 039.0,45 205.3,45 426.3,46 943.5,47 165.5,47 403.4,47 609.7,47 775.8,47 907.6,48 054.6,48 007.7,1.069697476,0.947960225,1.161825032,0.778100531,0.576944233,1.138248785,0.522559343,0.521577263,0.992224566,1.278592146,2.524649139
DEU,Germany,69 252,69844.75,70 438,71030.25,71 623,73802.5,75982,78161.5,80 341,80960.5,81580,82199.5,82 819,42 003,44432.81155,50677,57798.69064,59 351,60148,60945,61742,62 539,65174.75,67810.5,70446.25,73 082,45.7,44.8,46.4,46.8,47.0,47.7,48.4,48.7,49.3,50.3,50.8,61 922.1,61 423.5,61 430.2,61 375.5,61 363.9,61 544.1,62 061.3,62 053.9,61 986.9,61 929.9,62 060.2,62 050.7,0.645275771,1.069483745,1.496488838,1.959391683,1.877939854,1.853678824,1.327752223,1.503738989,1.974717161,2.055056553,1.596822656
GRC,Greece,33 367,36015.75,38 665,41313.25,43 962,42731.5,41501,40270.5,39 040,37847.09899,36690.64304,35569.52375,34 483,34 214,37683.09073,30533.5,24740.39693,26 853,27999.5,29146,30292.5,31 439,32628.89233,33863.8193,35145.48535,36475.65945,32.5,33.7,34.3,35.1,35.4,36.1,37.4,38.5,39.2,39.3,40.7,8 367.2,8 306.4,8 246.5,8 183.7,8 134.8,8 086.3,8 047.1,8 012.1,7 974.9,7 931.1,7 892.8,7 862.2,-0.176615534,0.959017981,-0.275142403,-2.045624207,-1.938754621,-0.293730433,-0.578580752,0.285406259,-0.165244042,0.248490586,-0.837548131
HUN,Hungary,26 570,26200,25 830,25460,25 090,25937.75,26785.5,27633.25,28 481,29234.5,29988,30741.5,31 495,18 732,21083.00417,19750.5,18502.21378,20 769,22041.25,23313.5,24585.75,25 858,26710.25,27562.5,28414.75,29 267,33.0,34.6,35.6,36.0,36.3,36.7,36.3,36.5,37.3,38.2,39.9,7 662.7,7 649.3,7 635.8,7 609.7,7 573.3,7 537.9,7 507.5,7 460.4,7 432.2,7 419.0,7 408.7,7 359.1,2.533695914,1.933820705,2.893200601,2.818841517,3.697461127,2.776554175,1.320878951,4.029336507,4.846481988,4.765536616,6.314024973
ISL,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.368854465,3.096669582,3.4408803,2.124541839,4.141651945,6.054520348,2.260860867,0.936992856,2.652950624,4.589430895,3.214351922
IRL,Ireland,64 739,65362.5,65 986,66609.5,67 233,69040.25,70847.5,72654.75,74 462,76907.25,79352.5,81797.75,84 243,44 172,51331.75,58491.5,65651.25,72 811,76649.5,80488,84326.5,88 165,95662.5,103160,110657.5,118 155,47.5,50.3,51.9,52.8,53.1,54.2,54.9,56.6,57.2,58.0,60.8,3 374.2,3 369.5,3 372.1,3 383.4,3 404.5,3 436.5,3 479.2,3 523.0,3 570.4,3 625.0,3 669.8,3 701.9,-2.975073593,1.496868576,2.284052686,0.9422247,-0.056811643,7.700188121,0.705182878,0.925858589,0.711919255,4.2247889,-1.212120401
ITA,Italy,53 115,54002.75,54 891,55778.25,56 666,56617.5,56569,56520.5,56 472,56423.54702,56375.13562,56326.76575,56 278,43 760,44822.25,45884.5,46946.75,48 009,47960.75,47912.5,47864.25,47 816,47767.79864,47719.64587,47671.54164,47623.4859,34.0,34.6,34.7,34.8,35.0,35.5,35.7,36.3,37.0,37.3,38.0,45 175.5,45 260.8,45 382.1,45 556.5,45 626.4,45 520.1,45 371.6,45 277.5,45 194.5,45 108.5,45 057.7,44 390.7,0.436360538,1.607176983,1.54730144,1.147610159,0.913241262,0.931863575,1.13435002,0.726343221,1.068132047,0.920178589,1.375677856
LVA,Latvia,23 305,23433,23 561,23689,23 817,25655.5,27494,29332.5,31 171,33231.25,35291.5,37351.75,39 412,18 283,17870.75,17458.5,17046.25,16 634,17851.25,19068.5,20285.75,21 503,23246.75,24990.5,26734.25,28 478,38.0,38.2,40.1,41.2,40.7,42.4,43.3,44.4,44.4,46.8,47.7,1 635.3,1 595.3,1 560.0,1 536.1,1 495.8,1 472.6,1 450.3,1 423.4,1 410.8,1 399.5,1 390.1,1 381.4,-0.344610811,6.53308884,3.638772799,1.715649513,1.917664771,0.115936805,0.864382928,2.947266421,3.893608357,2.57514231,-0.119652959
LTU,Lithuania,16 638,17991.5,19 345,20698.5,22 052,23209.5,24367,25524.5,26 682,29389.75,32097.5,34805.25,37 513,14 188,15346.75,16505.5,17664.25,18 823,19489,20155,20821,21 487,23625.5,25764,27902.5,30 041,42.7,43.6,43.9,45.6,46.5,48.2,49.1,49.4,50.5,51.9,52.4,2 426.4,2 327.6,2 290.7,2 261.9,2 237.5,2 211.5,2 175.2,2 129.1,2 102.3,2 090.7,2 094.6,2 094.7,2.53348366,5.349952298,2.734253494,1.281332227,0.833592064,0.063682791,1.576252772,4.24343179,3.526212136,2.654234194,1.459281574
LUX,Luxembourg,65 864,68124.5,70 385,72645.5,74 906,75375.75,75845.5,76315.25,76 785,77350.5,77916,78481.5,79 047,44149.31495,51239.5341,59468.41662,69018.82769,80 103,92967.25,105831.5,118695.75,131 560,125303.5,119047,112790.5,106 534,56.2,57.3,58.9,61.1,64.5,58.8,59.6,57.6,61.2,63.7,65.0,378.1,389.6,399.5,403.3,410.3,425.1,436.2,452.9,458.2,467.6,477.7,484.4,4.648418462,3.44946168,3.265977318,2.276024495,2.796702201,2.219180657,-1.107616926,2.142903997,1.731701858,0.577087746,4.271360594
MLT,Malta,29 341,30390,31 439,32488,33 537,34800.25,36063.5,37326.75,38 590,39374.5,40159,40943.5,41 728,48443.41815,46668.42662,44958.47168,43311.17035,41724.22699,40195.43005,38722.649,37303.8314,35 937,34620.25,33303.5,31986.75,30 670,32.6,35.3,37.6,39.0,39.5,40.2,40.3,42.8,46.1,47.4,47.6,321.0,322.1,326.1,331.0,338.5,347.4,355.6,367.0,381.3,396.7,402.8,404.5,3.165694218,1.123902047,2.146095494,2.276171591,2.342729375,4.220118792,1.997017517,2.098196586,2.217385277,2.374298383,1.4762733
MNE,Montenegro,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,8478.969917,8733.303475,8995.265973,9265.086248,9 543,9829.25,10115.5,10401.75,10 688,10982.12743,11284.34907,11594.88768,11 914,35,35.6,35.9,37.5,38.8,37.1,38.1,37.2,36.8,38.8,38.4,:,:,:,:,:,:,:,:,:,:,:,:,1.604202698,1.202703549,0.177017,2.066970904,1.03622832,2.219572933,5.101095417,3.824946071,3.226106405,2.022142505,-0.175604638
NLD,Netherlands,68 813,69955,71 097,72239,73 381,73828.25,74275.5,74722.75,75 170,77062,78954,80846,82 738,60 925,61592.5,62260,62927.5,63 595,64404.75,65214.5,66024.25,66 834,70041,73248,76455,79 662,50.9,51.8,52.1,52.7,52.8,53.6,54.6,55.3,56.9,58.7,60.8,12 412.4,12 452.2,12 540.7,12 637.6,12 664.6,12 685.2,12 768.0,12 870.1,12 936.5,13 015.4,13 094.3,13 146.6,0.940413732,0.193652087,1.446109567,1.279987054,0.253185732,0.772727977,0.454667289,1.260707158,2.437090745,3.032733792,2.291701276
MKD,NorthMacedonia,12551.78293,12677.19505,12803.86023,12931.791,13 061,13191.5,13322,13452.5,13 583,13714.76595,13847.81014,13982.14497,14 118,8326.279103,8484.634211,8646.001029,8810.436836,8 978,9148.75,9319.5,9490.25,9 661,9834.82216,10011.77175,10191.90505,10375.27933,24.1,27.0,27.6,26.4,26.8,28.6,30.9,31.4,31.7,32.5,35.4,:,:,:,:,:,:,:,:,:,:,:,:,2.041283023,3.72217234,1.002998267,4.483293154,1.446967858,2.003420846,3.465252857,2.807027035,3.926155289,0.868168685,0.857544357
NOR,Norway,95 949,100654,105 359,110064,114 769,110959.25,107149.5,103339.75,99 530,95860.70123,92326.67578,88922.93663,85 645,81 661,87571,93481,99391,105 301,102007.25,98713.5,95419.75,92 126,88945.94543,85875.66168,82911.35963,80049.38094,51.4,54.6,55.4,56.3,58.7,59.7,59.3,59.1,59.2,59.3,60.5,:,:,:,:,:,:,:,:,:,:,:,:,5.968211523,6.716706053,3.342920579,2.555195583,0.290603973,-2.854865013,-1.474253826,3.951104549,6.651608266,-0.472598024,-3.604605158
POL,Poland,24 115,24375,24 635,24895,25 155,25768.75,26382.5,26996.25,27 610,28237.70338,28879.67738,29536.24642,30 208,20 989,20376,19763,19150,18 537,19315,20093,20871,21 649,22456.0012,23293.08466,24161.37175,25062.02563,35.9,36.6,37.7,39.0,40.4,41.6,42.8,44.0,45.2,46.0,46.6,28 609.4,28 605.0,28 577.3,28 526.6,28 451.9,28 410.3,28 081.6,27 982.8,27 851.9,27 678.9,27 722.4,27 627.2,1.650906719,3.27057482,2.361494844,0.304917411,0.521868728,0.974028251,0.311622234,1.859700451,1.201610335,3.193977984,4.103890814
PRT,Portugal,36 701,36829.25,36 958,37085.75,37 214,35592.25,33970.5,32348.75,30 727,31848.25,32969.5,34090.75,35 212,42410.48617,40490.0681,38656.60979,36906.17355,35 235,33639.5,32044,30448.5,28 853,27462.75,26072.5,24682.25,23 292,23.9,26.9,28.7,30.0,33.0,34.8,36.2,36.4,37.5,38.3,40.9,8 036.6,8 009.3,7 965.3,7 907.3,7 859.6,7 825.2,7 804.8,7 789.3,7 772.9,7 768.8,7 782.5,7 783.5,0.642290869,-0.265123395,-0.38819636,2.248654892,0.704596369,2.019964428,1.716662547,1.511910394,1.812996752,1.749452748,1.941873304
ROU,Romania,14 940,15871,16 802,17733,18 664,20211.75,21759.5,23307.25,24 855,26834,28813,30792,32 771,10 150,11159.5,12169,13178.5,14 188,14337.5,14487,14636.5,14 786,16332,17878,19424,20 970,24.0,25.4,25.5,25.1,25.6,27.0,27.6,27.7,27.9,28.2,28.4,15 607.0,15 522.8,15 437.5,15 370.1,15 304.4,15 225.7,15 142.7,15 026.5,14 927.1,14 821.6,14 733.2,14 561.2,3.593131593,3.769401251,3.770702842,3.395480966,1.796958454,3.25534816,2.447043264,4.679172497,6.186225461,6.795538042,3.889224536
SRB,Serbia,13031.22122,13879.85891,14783.76279,15746.53198,16 772,17864.25,18956.5,20048.75,21 141,23107.75,25074.5,27041.25,29 008,12777.18092,12393.98974,12022.29057,11661.73876,11 312,10972.75,10633.5,10294.25,9 955,10966.5,11978,12989.5,14 001,30.6,21.3,22.4,30.9,32.7,33.4,33.6,34.4,35.2,35.3,35.4,:,:,:,:,:,:,:,:,:,:,:,:,5.728941631,8.909097738,6.199338956,5.125443276,2.585382937,1.87289248,1.549888832,2.97079317,1.974942562,2.440600408,2.449981748
SVK,Slovakia,30953.48592,31190.86969,31430.07397,31671.11271,31 914,32158.75,32403.5,32648.25,32 893,35110,37327,39544,41 761,26863.24003,27608.12149,28373.65751,29160.42081,29 969,30800,31631,32462,33 293,33455.25,33617.5,33779.75,33 942,33.5,33.9,32.5,32.5,32.9,33.5,34.2,35.2,36.9,38.1,39.7,4 305.4,4 271.5,4 279.6,4 285.6,4 286.4,4 285.5,4 281.9,4 274.8,4 266.1,4 258.1,4 249.6,4 207.8,0.532681317,1.676477179,1.260116212,0.509341301,-0.192250577,-0.216403221,-0.512184923,1.215693888,2.034356622,2.493487709,2.368618962
SVN,Slovenia,40 278,40644.5,41 011,41377.5,41 744,42438.5,43133,43827.5,44 522,46229.5,47937,49644.5,51 352,34 711,34133.5,33556,32978.5,32 401,33853.25,35305.5,36757.75,38 210,39735,41260,42785,44 310,40.8,42.4,42.8,43.5,43.7,45.1,46.5,47.8,47.4,48.2,50.6,1 610.8,1 606.7,1 602.1,1 595.7,1 589.6,1 585.6,1 580.4,1 577.2,1 568.2,1 576.6,1 594.2,1 575.6,-1.029317885,1.040015007,0.479044261,1.600355935,0.456031616,1.005043485,0.874115426,1.464064024,2.116788342,2.199603922,1.225815764
ESP,Spain,39 289,40311.5,41 334,42356.5,43 379,43385.75,43392.5,43399.25,43 406,44430,45454,46478,47 502,35 432,37254.75,39077.5,40900.25,42 723,41650.75,40578.5,39506.25,38 434,39702.25,40970.5,42238.75,43 507,39.6,40.1,40.4,41.2,42.2,42.7,43.4,44.3,45.1,46.5,47.8,35 344.7,35 332.2,35 240.1,35 036.6,34 975.2,34 953.7,34 907.0,35 039.9,35 195.4,35 499.5,35 810.0,35 833.8,0.153388675,-0.019750748,-0.11455774,0.398439553,-0.223368485,0.54555601,0.322898794,1.299554832,1.245255115,1.304657166,1.103930714
SWE,Sweden,76 611,79167.25,81 724,84279.75,86 836,90351.5,93867,97382.5,100 898,104540.4093,108314.3092,112224.4466,116 276,66 317,69340,72363,75386,78 409,83011.75,87614.5,92217.25,96 820,101652.4826,106726.1642,112053.0835,117645.8802,50.3,51.7,52.6,53.8,55.1,56.2,57.9,58.6,59.9,60.7,61.4,7 017.8,7 073.3,7 114.5,7 155.7,7 205.2,7 257.0,7 322.4,7 402.4,7 459.8,7 508.4,7 534.8,7 515.1,0.947565419,1.0883594,1.001422023,0.927395691,1.744531292,2.121180245,1.525609914,2.135151825,2.396920335,2.546875481,1.761188885
CHE,Switzerland,111068.4898,113729.2214,116453.693,119243.4313,122 100,125025,127950,130875,133 800,136790.3725,139847.5785,142973.1118,146 168,111068.4898,113729.2214,116453.693,119243.4313,122 100,125025,127950,130875,133 800,136790.3725,139847.5785,142973.1118,146 168,52.4,50.7,51.7,53.4,54.3,55.1,56.4,57.7,58.6,59.6,59.8,:,:,:,:,:,:,:,:,:,:,:,:,0.334528999,-0.032862903,-0.003765062,-0.02330848,-0.590356049,-1.204191107,-0.596719888,-0.374816491,0.748408212,-0.105744561,-0.502868266
TUR,Turkey,28049.56329,27983.18723,27916.96825,27850.90596,27 785,27719.25,27653.5,27587.75,27 522,25401,23280,21159,19 038,27071.11782,26686.46757,26307.28278,25933.48577,25 565,25201.75,24838.5,24475.25,24 112,23754.14118,23401.59354,23054.27823,22712.11762,20.9,21.7,23.1,23.8,24.7,26.3,27.5,28.1,28.8,30.3,32.6,:,:,:,:,:,:,:,:,:,:,:,:,7.009283603,8.200847093,7.422673287,6.280109697,7.389518638,7.84491693,8.130478078,10.98242167,16.47581834,13.85934632,14.82641101
GBR,UnitedKingdom,66250.59676,66705.0011,67162.52215,67623.18127,68 087,68554,69021,69488,69 955,70425.13851,70898.43663,71374.91559,71 855,61 301,63299.75,65298.5,67297.25,69 296,71354.11352,73473.35367,75655.53594,71 570,67705.0904,64048.89291,60590.13672,57318.15961,46.3,52.4,53.3,54.1,54.6,55.5,56.8,57.0,57.6,59.1,61,:,:,:,:,:,:,:,:,:,:,:,:,1.376207318,2.067332934,1.611883546,2.238800542,1.590368107,0.511374817,1.901106634,1.818766408,1.999034892,2.015103187,5.090975534
